,chars,lines,line_num,scene_setup,mod_lines,line_stemmed,scene_setup_stemmed
0,ALADDIN,"  THE COMPLETE SCRIPT
COMPILED BY BEN SCRIPPS <34RQNPQ@CMUVM.CSV.CMICH.EDU>
(Portions Copyright (c) 1992 The Walt Disney Company)

",1,(Portions Copyright (c),"  THE COMPLETE SCRIPT
COMPILED BY BEN SCRIPPS <34RQNPQ@CMUVM.CSV.CMICH.EDU>
  1992 The Walt Disney Company)

",complet script compil ben scripp rqnpq cmuvm csv cmich edu portion copyright c walt disney compani,portion copyright c
1,PEDDLER,"    Oh I come from a land
    From a faraway place
    Where the caravan camels roam
    Where they cut off your ear /Where it's flat and immense
    If they don't like your face /And the heat is intense
    It's barbaric, but hey--it's home!
    When the wind's at your back
    And the sun's from the west
    And the sand in the glass is right
    Come on down,
    Stop on by
    Hop a carpet and fly
    To another Arabian night!

    Arabian nights
    Like Arabian days
    More often than not
    Are hotter than hot
    In a lot of good ways

    Arabian nights
    'Neath Arabian moons
    A fool off his guard
    Could fall and fall hard
    Out there on the dunes.

    Ah, Salaam and good evening to you worthy friend.
    Please, please, come closer--(Camera zooms in hitting
    peddler in face) Too close, a little too close.  (Camera
    zooms back out to CU)There.Welcome to Agrabah.  City of
    mystery, of enchantment, and the finest merchandise this
    side of the river Jordan, on sale today, come on down!
    Heh, heh.  Look at this! Yes!  Combination hookah and
    coffee maker--also makes Julienne fries.  Will not break
    (taps it on table), will not--(it falls apart)--it
    broke.  Ooohhh!  Look at this! Pulls out Tupperware) I
    have never seen one of these intact before.  This is the
    famous Dead Sea Tupperware. Listen.  (Pries it open,
    makes raspberry sound.)  Ah, still good. (Camera begins
    to pan to right.  PEDDLER hurries to catch it.)  Wait,
    don't go!  (Stop pan.)I can see that you're only
    interested in the exceptionally rare.  I think then, you
    would be most rewarded to consider...this.  (PEDDLER
    pulls the MAGIC LAMP out from his sleeve.) Do not be
    fooled by its commonplace appearance.  Like so many
    things, it is not what is outside, but what is inside
    that counts.  (Another pan, this one slower to left.
    Again, PEDDLER rushes to catch up.)  This is no ordinary
    lamp!  It once changed the course of a young man's life.
    A young man who liked this lamp was more than what he
    seemed.  A diamond in the rough.  Perhaps you would like
    to hear the tale?  (PEDDLER pours shiny sand from the
    lamp into his hand.)  It begins on a dark night (PEDDLER
    throws sand into the sky, where it forms a starry
    nightscape.) , where a dark man waits, with a dark
    purpose.

(Camera tilts down to find JAFAR sitting on his horse and IAGO
    on his shoulder.  GAZEEM comes riding up to the pair.)

",5,"(Camera zooms in hitting
    peddler in face)","    Oh I come from a land
    From a faraway place
    Where the caravan camels roam
    Where they cut off your ear /Where it's flat and immense
    If they don't like your face /And the heat is intense
    It's barbaric, but hey--it's home!
    When the wind's at your back
    And the sun's from the west
    And the sand in the glass is right
    Come on down,
    Stop on by
    Hop a carpet and fly
    To another Arabian night!

    Arabian nights
    Like Arabian days
    More often than not
    Are hotter than hot
    In a lot of good ways

    Arabian nights
    'Neath Arabian moons
    A fool off his guard
    Could fall and fall hard
    Out there on the dunes.

    Ah, Salaam and good evening to you worthy friend.
    Please, please, come closer--(Camera zooms in hitting
    peddler in face) Too close, a little too close.  (Camera
    zooms back out to CU)There.Welcome to Agrabah.  City of
    mystery, of enchantment, and the finest merchandise this
    side of the river Jordan, on sale today, come on down!
    Heh, heh.  Look at this! Yes!  Combination hookah and
    coffee maker--also makes Julienne fries.  Will not break
    (taps it on table), will not--(it falls apart)--it
    broke.  Ooohhh!  Look at this! Pulls out Tupperware) I
    have never seen one of these intact before.  This is the
    famous Dead Sea Tupperware. Listen.  (Pries it open,
    makes raspberry sound.)  Ah, still good. (Camera begins
    to pan to right.  PEDDLER hurries to catch it.)  Wait,
    don't go!  (Stop pan.)I can see that you're only
    interested in the exceptionally rare.  I think then, you
    would be most rewarded to consider...this.  (PEDDLER
    pulls the MAGIC LAMP out from his sleeve.) Do not be
    fooled by its commonplace appearance.  Like so many
    things, it is not what is outside, but what is inside
    that counts.  (Another pan, this one slower to left.
    Again, PEDDLER rushes to catch up.)  This is no ordinary
    lamp!  It once changed the course of a young man's life.
    A young man who liked this lamp was more than what he
    seemed.  A diamond in the rough.  Perhaps you would like
    to hear the tale?  (PEDDLER pours shiny sand from the
    lamp into his hand.)  It begins on a dark night (PEDDLER
    throws sand into the sky, where it forms a starry
    nightscape.) , where a dark man waits, with a dark
    purpose.

(Camera tilts down to find JAFAR sitting on his horse and IAGO
    on his shoulder.  GAZEEM comes riding up to the pair.)

",oh come land faraway place caravan camel roam cut ear flat immens like face heat intens barbar hey home wind back sun west sand glass right come stop hop carpet fli anoth arabian night arabian night like arabian day often not hotter hot lot good way arabian night neath arabian moon fool guard could fall fall hard dune ah salaam good even worthi friend pleas pleas come closer camera zoom hit peddler face close littl close camera zoom back cu welcom agrabah citi mysteri enchant finest merchandis side river jordan sale today come heh heh look ye combin hookah coffe maker also make julienn fri not break tap tabl not fall apart broke ooohhh look pull tupperwar never seen one intact famou dead sea tupperwar listen pri open make raspberri sound ah still good camera begin pan right peddler hurri catch wait go stop pan see interest except rare think would reward consid peddler pull magic lamp sleev not fool commonplac appear like mani thing not outsid insid count anoth pan one slower left peddler rush catch ordinari lamp chang cours young man life young man like lamp seem diamond rough perhap would like hear tale peddler pour shini sand lamp hand begin dark night peddler throw sand sky form starri nightscap dark man wait dark purpos camera tilt find jafar sit hors iago shoulder gazeem come ride pair,camera zoom hit peddler face
2,JAFAR,"  You...are late.
",65,,  You...are late. ,late,
3,GAZEEM,"A thousand apologies, O patient one.
",66,,"A thousand apologies, O patient one. ",thousand apolog patient one,
4,JAFAR,"  You have it, then?
",67,,"  You have it, then? ",,
5,GAZEEM,"I had to slit a few throats to get it.  (Pulls out
        half of the medallion.  JAFAR reaches out for it,
        but GAZEEM yanks it back.)  Ah, ah, ahhh!  The treasure!
        (IAGO squawks as he flies by and grabs the medallion.)  Ouch!
",68,"(Pulls out
        half of the medallion.  JAFAR reaches out for it,
        but GAZEEM yanks it back.)","I had to slit a few throats to get it.  (Pulls out
        half of the medallion.  JAFAR reaches out for it,
        but GAZEEM yanks it back.)  Ah, ah, ahhh!  The treasure!
        (IAGO squawks as he flies by and grabs the medallion.)  Ouch!
",slit throat get pull half medallion jafar reach gazeem yank back ah ah ahhh treasur iago squawk fli grab medallion ouch,pull half medallion jafar reach gazeem yank back
6,JAFAR,"  Trust me, my pungent friend.  You'll get what's
        coming to you.
",72,,"  Trust me, my pungent friend.  You'll get what's         coming to you. ",trust pungent friend get come,
7,IAGO,"   What's coming to you!  Awk!

(JAFAR pulls out the second half of the medallion.  He connects
    them, and the insect medallion begins to glow.  Finally, it
    flies out of JAFAR's hand, scaring the horses, and is off
    towards the dunes.)

",74,"(JAFAR pulls out the second half of the medallion.  He connects
    them, and the insect medallion begins to glow.  Finally, it
    flies out of JAFAR's hand, scaring the horses, and is off
    towards the dunes.)","   What's coming to you!  Awk!

(JAFAR pulls out the second half of the medallion.  He connects
    them, and the insect medallion begins to glow.  Finally, it
    flies out of JAFAR's hand, scaring the horses, and is off
    towards the dunes.)

",come awk jafar pull second half medallion connect insect medallion begin glow final fli jafar hand scare hors toward dune,jafar pull second half medallion connect insect medallion begin glow final fli jafar hand scare hors toward dune
8,JAFAR,"  Quickly, follow the trail!

(All ride off, following the glowing speck of light, until
    it reaches a large dune.  It separates into two and the
    halves plunge into the dune.  All that remains are two glowing
    points of light on the dune.  But then the dune begins to rise
     up, transforming into a giant lion's head, with the glowing
    points serving as the eyes.)

",81,"(All ride off, following the glowing speck of light, until
    it reaches a large dune.  It separates into two and the
    halves plunge into the dune.  All that remains are two glowing
    points of light on the dune.  But then the dune begins to rise
     up, transforming into a giant lion's head, with the glowing
    points serving as the eyes.)","  Quickly, follow the trail!

(All ride off, following the glowing speck of light, until
    it reaches a large dune.  It separates into two and the
    halves plunge into the dune.  All that remains are two glowing
    points of light on the dune.  But then the dune begins to rise
     up, transforming into a giant lion's head, with the glowing
    points serving as the eyes.)

",quickli follow trail ride follow glow speck light reach larg dune separ two halv plung dune remain two glow point light dune dune begin rise transform giant lion head glow point serv eye,ride follow glow speck light reach larg dune separ two halv plung dune remain two glow point light dune dune begin rise transform giant lion head glow point serv eye
9,JAFAR,"  At last, after all my years of searching,  the cave
        of wonders!
",90,,"  At last, after all my years of searching,  the cave         of wonders! ",last year search cave wonder,
10,IAGO,"       Awk!  Cave of wonders!
",92,,       Awk!  Cave of wonders! ,awk cave wonder,
11,GAZEEM," By Allah!
",93,, By Allah! ,allah,
