,chars,lines,line_num,scene_setup,mod_lines,line_stemmed,scene_setup_stemmed
0,NARRATOR,"     Once upon a time, in a faraway land, a young prince lived in a
              shining castle.  Although he had everything his heart desired,
              the prince was spoiled, selfish, and unkind.  But then, one
              winter's night, an old beggar woman came to the castle and
              offered him a single rose in return for shelter from the bitter
              cold. Repulsed by her haggard appearance, the prince sneered at
              the gift and turned the old woman away, but she warned him not
              to be deceived by appearances, for beauty is found within.
              And when he dismissed her again, the old woman's ugliness
              melted away to reveal a beautiful enchantress.  The prince
              tried to apologize, but it was too late, for she had seen that
              there was no love in his heart, and as punishment, she
              transformed him into a hideous beast, and placed a
              powerful spell on the castle, and all who lived there.
              Ashamed of his monstrous form, the beast concealed himself
              inside his castle, with a magic mirror as his only window to
              the outside world.  The rose she had offered was truly an
              enchanted rose, which would bloom until his twenty-first
              year.  If he could learn to love another, and earn her love in
              return by the time the last petal fell, then the spell would
              be broken.  If not, he would be doomed to remain a beast for
              all time.  As the years passed, he fell into despair, and lost
              all hope, for who could ever learn to love a beast?

(We have seen a progression of stained glass windows illustrating the
narration, as well as BEAST shredding his portrait.  The camera slowly zooms
out from the castle and we see the title.  Fade up on the home of BELLE.  She
exits the front door and begins her walk into town.)

",7,"(We have seen a progression of stained glass windows illustrating the
narration, as well as BEAST shredding his portrait.  The camera slowly zooms
out from the castle and we see the title.  Fade up on the home of BELLE.  She
exits the front door and begins her walk into town.)","     Once upon a time, in a faraway land, a young prince lived in a
              shining castle.  Although he had everything his heart desired,
              the prince was spoiled, selfish, and unkind.  But then, one
              winter's night, an old beggar woman came to the castle and
              offered him a single rose in return for shelter from the bitter
              cold. Repulsed by her haggard appearance, the prince sneered at
              the gift and turned the old woman away, but she warned him not
              to be deceived by appearances, for beauty is found within.
              And when he dismissed her again, the old woman's ugliness
              melted away to reveal a beautiful enchantress.  The prince
              tried to apologize, but it was too late, for she had seen that
              there was no love in his heart, and as punishment, she
              transformed him into a hideous beast, and placed a
              powerful spell on the castle, and all who lived there.
              Ashamed of his monstrous form, the beast concealed himself
              inside his castle, with a magic mirror as his only window to
              the outside world.  The rose she had offered was truly an
              enchanted rose, which would bloom until his twenty-first
              year.  If he could learn to love another, and earn her love in
              return by the time the last petal fell, then the spell would
              be broken.  If not, he would be doomed to remain a beast for
              all time.  As the years passed, he fell into despair, and lost
              all hope, for who could ever learn to love a beast?

(We have seen a progression of stained glass windows illustrating the
narration, as well as BEAST shredding his portrait.  The camera slowly zooms
out from the castle and we see the title.  Fade up on the home of BELLE.  She
exits the front door and begins her walk into town.)

",upon time faraway land young princ live shine castl although everyth heart desir princ spoil selfish unkind one winter night old beggar woman came castl offer singl rose return shelter bitter cold repuls haggard appear princ sneer gift turn old woman away warn not deceiv appear beauti found within dismiss old woman ugli melt away reveal beauti enchantress princ tri apolog late seen love heart punish transform hideou beast place power spell castl live asham monstrou form beast conceal insid castl magic mirror window outsid world rose offer truli enchant rose would bloom twenti first year could learn love anoth earn love return time last petal fell spell would broken not would doom remain beast time year pass fell despair lost hope could ever learn love beast seen progress stain glass window illustr narrat well beast shred portrait camera slowli zoom castl see titl fade home bell exit front door begin walk town,seen progress stain glass window illustr narrat well beast shred portrait camera slowli zoom castl see titl fade home bell exit front door begin walk town
1,BELLE,"        Little town, it's a quiet village
              Every day, like the one before
              Little town, full of little people
              Waking up to say...

",36,,"        Little town, it's a quiet village               Every day, like the one before               Little town, full of little people               Waking up to say...  ",littl town quiet villag everi day like one littl town full littl peopl wake say,
2,TOWNSFOLK 1,"  Bonjour!
",41,,  Bonjour! ,bonjour,
3,TOWNSFOLK 2,"  Bonjour!
",42,,  Bonjour! ,bonjour,
4,TOWNSFOLK 3,"  Bonjour!
",43,,  Bonjour! ,bonjour,
5,TOWNSFOLK 4,"  Bonjour!
",44,,  Bonjour! ,bonjour,
6,TOWNSFOLK 5,"  Bonjour!
",45,,  Bonjour! ,bonjour,
7,BELLE,"        There goes the baker with his tray like always
              The same old bread and rolls to sell
              Ev'ry morning just the same
              Since the morning that we came
              To this poor provincial town...
",46,,        There goes the baker with his tray like always               The same old bread and rolls to sell               Ev'ry morning just the same               Since the morning that we came               To this poor provincial town... ,goe baker tray like alway old bread roll sell ev ry morn sinc morn came poor provinci town,
8,BAKER,"        Good morning, Belle!
(BELLE jumps over to the bakery)
",51,(BELLE jumps over to the bakery),"        Good morning, Belle!
 
",good morn bell bell jump bakeri,bell jump bakeri
9,BELLE,"        Morning monsieur!
",53,,        Morning monsieur! ,morn monsieur,
