,chars,lines,line_num,mod_line,scene_setup
0,Soldier,"Ah! [The hawk lets out a call. The soldier walks over to the edge of the wall. A hook comes flying up, followed by many more.]
",8,Ah!,"The hawk lets out a call. The soldier walks over to the edge of the wall. A hook comes flying up, followed by many more."
1,Soldier,"[Running back to his post] We're under attack! Light the signal!
The door opens, revealing a couple of Huns. The soldier climbs up the ladder.
",10,"We're under attack! Light the signal! The door opens, revealing a couple of Huns. The soldier climbs up the ladder.",Running back to his post
2,Soldier,"[lighting the signal with a torch, while staring at the Hun leader; other signals go on all the way along the Great Wall] Now all of China knows you're here.
",13,Now all of China knows you're here.,"lighting the signal with a torch, while staring at the Hun leader; other signals go on all the way along the Great Wall"
3,Shan Yu,"[picking up a flag and toasting it in the signal fire] Perfect.
***

The Chinese General and two soldiers walk into the Emperor's chamber and bow.
",15,Perfect. ***  The Chinese General and two soldiers walk into the Emperor's chamber and bow.,picking up a flag and toasting it in the signal fire
4,General,"Your Majesty, the Huns have crossed our Northern Border.
",20,"Your Majesty, the Huns have crossed our Northern Border.",
5,Chi Fu,"Impossible! No one can get through the Great Wall! [He is silenced with a raised hand from the Emperor]
",22,Impossible! No one can get through the Great Wall!,He is silenced with a raised hand from the Emperor
6,General,"Shan Yu is leading them. We'll set up defenses around your palace immediately.
",24,Shan Yu is leading them. We'll set up defenses around your palace immediately.,
7,Emperor,"No! [Standing up] Send your troops to protect my people! Chi Fu!
",26,No!  Send your troops to protect my people! Chi Fu!,Standing up
8,Chi Fu,"Yes, your Highness.
",28,"Yes, your Highness.",
9,Emperor,"Deliver conscription notices throughout all the provinces. Call up reserves, and as many new recruits as possible.
",30,"Deliver conscription notices throughout all the provinces. Call up reserves, and as many new recruits as possible.",
10,General,"Forgive me, your Majesty, but I believe my troops can stop him.
",32,"Forgive me, your Majesty, but I believe my troops can stop him.",
11,Emperor,"I won't take any chances, General. A single grain of rice can tip the scale; one man may be the difference between victory and defeat.
***

",34,"I won't take any chances, General. A single grain of rice can tip the scale; one man may be the difference between victory and defeat. ***",
12,Mulan,"[Using chopsticks to balance a grain of rice]
Quiet and demure ... graceful, polite, delicate, refined, poised ...
[she picks up a paintbrush and makes a mark on her arm] ... punctual!
[A rooster crows] Aaiee!
[Blowing on her arm] Little brother! Little brother! Little-- [she glances down at a sleeping dog on the floor]
Ah! There you are! [The dog wakes up]
Who's the smartest doggy in the world? C'mon, smart boy! Can you help me with my chores today? [she ties a sack of chicken feed to his back, complete with a pole and a bone attached. Little Brother immediately chases the bone, running promptly into a wall and then out the door, scattering grain everywhere.]
",38,"Quiet and demure ... graceful, polite, delicate, refined, poised ...  ... punctual!  Aaiee!  Little brother! Little brother! Little--  Ah! There you are!  Who's the smartest doggy in the world? C'mon, smart boy! Can you help me with my chores today?","Using chopsticks to balance a grain of riceshe picks up a paintbrush and makes a mark on her armA rooster crowsBlowing on her armshe glances down at a sleeping dog on the floorThe dog wakes upshe ties a sack of chicken feed to his back, complete with a pole and a bone attached. Little Brother immediately chases the bone, running promptly into a wall and then out the door, scattering grain everywhere."
13,Fa Zu,"[praying] Honorable Ancestors ... please help Mulan impress the Matchmaker today. [Little Brother, followed by a herd of chickens, bursts into the family temple.] Please, please help her.
",46,"Honorable Ancestors ... please help Mulan impress the Matchmaker today.  Please, please help her.","prayingLittle Brother, followed by a herd of chickens, bursts into the family temple."
14,Mulan,"Father, I brought you some ... Whoop! [bangs into Fa Zu, he catches the tea pot on his cane while the cups hit the ground and shatter]
",48,"Father, I brought you some ... Whoop!","bangs into Fa Zu, he catches the tea pot on his cane while the cups hit the ground and shatter"
15,Fa Zu,"Mulan ...
",50,Mulan ...,
16,Mulan,"I brought a spare!
",52,I brought a spare!,
17,Fa Zu,"Mulan ...
",54,Mulan ...,
18,Mulan,"Remember, the doctor said three cups of tea in the morning ...
",56,"Remember, the doctor said three cups of tea in the morning ...",
19,Fa Zu,"Mulan.
",58,Mulan.,
20,Mulan,"... and three at night.
",60,... and three at night.,
21,Fa Zu,"Mulan. You should already be in town. We're counting on you to ...
",62,Mulan. You should already be in town. We're counting on you to ...,
22,Mulan,"Uphold the family honor. Don't worry, Father. I won't let you down. Wish me luck!
",64,"Uphold the family honor. Don't worry, Father. I won't let you down. Wish me luck!",
23,Fa Zu,"Hurry! I'm going to ... pray some more.
In town
",66,Hurry! I'm going to ... pray some more. In town,
24,Woman #1,"Fa Li, where is your daughter? The Matchmaker is not a patient woman.
",69,"Fa Li, where is your daughter? The Matchmaker is not a patient woman.",
25,Fa Li,"Of all the days to be late! I should have prayed to the ancestors for luck.
",71,Of all the days to be late! I should have prayed to the ancestors for luck.,
26,Granny Fa,"How lucky can they be? They're dead. Besides, I've got all the luck we'll need. [Holds up a wicker cage with a cricket inside.] This is your chance to prove yourself. [She closes her eyes and steps off the sidewalk.]
",73,"How lucky can they be? They're dead. Besides, I've got all the luck we'll need.  This is your chance to prove yourself.",Holds up a wicker cage with a cricket inside.She closes her eyes and steps off the sidewalk.
27,Fa Li,"Grandma! No!
Granny Fa walks across the street; vehicles crash, but she emerges unharmed.
",75,"Grandma! No! Granny Fa walks across the street; vehicles crash, but she emerges unharmed.",
28,Granny Fa,"Yup! This cricket's a lucky one! [Fa Li sighs.]
Mulan comes riding up on Khan, and hops off.
",78,"Yup! This cricket's a lucky one!  Mulan comes riding up on Khan, and hops off.",Fa Li sighs.
29,Mulan,"I'm here! [looks at her mother] What? But, Mama, I had to--
",81,"I'm here!  What? But, Mama, I had to--",looks at her mother
30,Fa Li,"None of your excuses. Now, let's get you cleaned up.
Begin ""Honor to us all""
",83,"None of your excuses. Now, let's get you cleaned up. Begin ""Honor to us all""",
31,Woman #1,"This is what you give me to work with?
Well, honey, I've seen worse.
We're going to turn this sow's ear
Into a silk purse.
",86,"This is what you give me to work with? Well, honey, I've seen worse. We're going to turn this sow's ear Into a silk purse.",
32,Mulan,"It's freezing!
",91,It's freezing!,
33,Fa Li,"It would've been warm, if you were here on time.
",93,"It would've been warm, if you were here on time.",
34,Woman #1,"We'll have you, washed and dried
Primped and polished till you glow with pride
Just my recipe for instant bride
You'll bring honor to us all.
",95,"We'll have you, washed and dried Primped and polished till you glow with pride Just my recipe for instant bride You'll bring honor to us all.",
35,Fa Li,"Mulan, what's this?
",100,"Mulan, what's this?",
36,Mulan,"Uh ... notes ... in case I forget something.
",102,Uh ... notes ... in case I forget something.,
37,Granny Fa,"Hold this. [Hands Crickee to Fa Li] We're going to need more luck than I thought.
",104,Hold this.  We're going to need more luck than I thought.,Hands Crickee to Fa Li
38,Woman #2,"Wait and see, when we're through
",106,"Wait and see, when we're through",
39,Woman #3,"Boys will gladly go to war for you
",108,Boys will gladly go to war for you,
40,Woman #2,"With good fortune
",110,With good fortune,
41,Woman #3,"And a great hairdo
",112,And a great hairdo,
42,Both,"You'll bring honor to us all.
A girl can bring her family
Great honor in one way
By striking a good match
And this might be the day
",114,You'll bring honor to us all. A girl can bring her family Great honor in one way By striking a good match And this might be the day,
43,Woman #4,"Men want girls with good taste
",120,Men want girls with good taste,
44,Woman #5,"Calm
",122,Calm,
45,Fa Li,"Obedient
",124,Obedient,
46,Woman #5,"Who work fast-paced
",126,Who work fast-paced,
47,Fa Li,"With good breeding
",128,With good breeding,
48,Woman #5,"And a tiny waist
",130,And a tiny waist,
49,All,"You'll bring honor to us all.
We all must serve our Emperor
Who guards us from the Huns
A man by bearing arms
A girl by bearing sons
",132,You'll bring honor to us all. We all must serve our Emperor Who guards us from the Huns A man by bearing arms A girl by bearing sons,
50,Woman #6,"When we're through,
You can't fail
Like a lotus blossom, soft and pale
How could any fellow say, ""No sale""?
You'll bring honor to us all!
",138,"When we're through, You can't fail Like a lotus blossom, soft and pale How could any fellow say, ""No sale""? You'll bring honor to us all!",
51,Fa Li,"There, you're ready.
",144,"There, you're ready.",
52,Granny Fa,"Not yet! An apple for serenity
A pendant for balance
Beads of jade for beauty
You must proudly show it
Now, add a cricket, just for luck,
And even you can't blow it!
",146,"Not yet! An apple for serenity A pendant for balance Beads of jade for beauty You must proudly show it Now, add a cricket, just for luck, And even you can't blow it!",
