,chars,lines,line_num,scene_setup,mod_lines,line_stemmed,scene_setup_stemmed
0,NOTE,"  The following script is Copyright (c) 1996 The Walt Disney
Company.  The purpose of this transcription is for research and
reference purposes only.  In no case should this script be sold or
charges be made for it.

",8,(c),"  The following script is Copyright   1996 The Walt Disney
Company.  The purpose of this transcription is for research and
reference purposes only.  In no case should this script be sold or
charges be made for it.

",follow script copyright c walt disney compani purpos transcript research refer purpos case script sold charg made,c
1,EDITION NOTE," In the following script, any words in capital letters are
sung as lyrics in songs.  All spoken dialogue (even lines *spoken*
within a song) are in normal type.  All Latin lyrics from the score have
been omitted from this version.





(As the Walt Disney Pictures logo fades off the screen, the chorus heard
in the background mixes with the bells of Notre Dame cathedral ringing.
A long zoom in through the city until we reach the Clopin singing to a
group of children watching his puppet show.)

",13,"(even lines *spoken*
within a song)"," In the following script, any words in capital letters are
sung as lyrics in songs.  All spoken dialogue (even lines *spoken*
within a song) are in normal type.  All Latin lyrics from the score have
been omitted from this version.





(As the Walt Disney Pictures logo fades off the screen, the chorus heard
in the background mixes with the bells of Notre Dame cathedral ringing.
A long zoom in through the city until we reach the Clopin singing to a
group of children watching his puppet show.)

",follow script word capit letter sung lyric song spoken dialogu even line spoken within song normal type latin lyric score omit version walt disney pictur logo fade screen choru heard background mix bell notr dame cathedr ring long zoom citi reach clopin sing group children watch puppet show,even line spoken within song
2,Clopin,"        MORNING IN PARIS, THE CITY AWAKES
               TO THE BELLS OF NOTRE DAME
               THE FISHERMAN FISHES, THE BAKERMAN BAKES
               TO THE BELLS OF NOTRE DAME

               TO THE BIG BELLS AS LOUD AS THE THUNDER
               TO THE LITTLE BELLS SOFT AS A PSALM
               AND SOME SAY THE SOUL OF THE CITY'S THE TOLL OF THE BELLS
               THE BELLS OF NOTRE DAME

               Listen, they're beautiful, no? So many colours of sounds,
               so many changing moods.  Because, you know, they don't
               ring all by themselves.

",27,,"        MORNING IN PARIS, THE CITY AWAKES                TO THE BELLS OF NOTRE DAME                THE FISHERMAN FISHES, THE BAKERMAN BAKES                TO THE BELLS OF NOTRE DAME                 TO THE BIG BELLS AS LOUD AS THE THUNDER                TO THE LITTLE BELLS SOFT AS A PSALM                AND SOME SAY THE SOUL OF THE CITY'S THE TOLL OF THE BELLS                THE BELLS OF NOTRE DAME                 Listen, they're beautiful, no? So many colours of sounds,                so many changing moods.  Because, you know, they don't                ring all by themselves.  ",morn pari citi awak bell notr dame fisherman fish bakerman bake bell notr dame big bell loud thunder littl bell soft psalm say soul citi toll bell bell notr dame listen beauti mani colour sound mani chang mood know ring,
3,Puppet,"        They don't?!?

",41,,        They don't?!?  ,,
4,Clopin,"        No, silly boy.  Up there, high, high in the dark
               bell tower, lives the mysterious bell ringer.  Who is
this
               creature?

",43,,"        No, silly boy.  Up there, high, high in the dark                bell tower, lives the mysterious bell ringer.  Who is this                creature?  ",silli boy high high dark bell tower live mysteri bell ringer creatur,
5,Puppet,"        Who?

",48,,        Who?  ,,
6,Clopin,"        What is he?

",50,,        What is he?  ,,
7,Puppet,"        What?

",52,,        What?  ,,
8,Clopin,"        How did he come to be there?

",54,,        How did he come to be there?  ,come,
9,Puppet,"        How?

",56,,        How?  ,,
10,Clopin,"        Hush!

",58,,        Hush!  ,hush,
11,Puppet,"        Ohhh...

",60,,        Ohhh...  ,ohhh,
12,Clopin,"        And Clopin will tell you.  It is a tale, a tale of a man
               and a monster!

(A wipe to a dark night.  A band of gypsies quietly proceeding down the
Seine, hoping to avoid detection.  A baby in the woman's arms begins to
cry.)

",62,"(A wipe to a dark night.  A band of gypsies quietly proceeding down the
Seine, hoping to avoid detection.  A baby in the woman's arms begins to
cry.)","        And Clopin will tell you.  It is a tale, a tale of a man
               and a monster!

(A wipe to a dark night.  A band of gypsies quietly proceeding down the
Seine, hoping to avoid detection.  A baby in the woman's arms begins to
cry.)

",clopin tell tale tale man monster wipe dark night band gypsi quietli proceed sein hope avoid detect babi woman arm begin cri,wipe dark night band gypsi quietli proceed sein hope avoid detect babi woman arm begin cri
13,Clopin,"        DARK WAS THE NIGHT WHEN OUR TALE WAS BEGUN
               ON THE DOCKS NEAR NOTRE DAME

",69,,        DARK WAS THE NIGHT WHEN OUR TALE WAS BEGUN                ON THE DOCKS NEAR NOTRE DAME  ,dark night tale begun dock near notr dame,
14,Gypsy 1,"       Shut it up, will you!

",72,,"       Shut it up, will you!  ",shut,
15,Gypsy 2,"       We'll be spotted!

",74,,       We'll be spotted!  ,spot,
16,Gypsy Mother,"  Hush, little one!

",76,,"  Hush, little one!  ",hush littl one,
17,Clopin,"        FOUR FRIGHTENED GYPSIES SLID SILENTLY UNDER
               THE DOCKS NEAR NOTRE DAME

",78,,        FOUR FRIGHTENED GYPSIES SLID SILENTLY UNDER                THE DOCKS NEAR NOTRE DAME  ,four frighten gypsi slid silent dock near notr dame,
18,Boatman,"       Four gilders for safe passage into Paris.

",81,,       Four gilders for safe passage into Paris.  ,four gilder safe passag pari,
19,Clopin,"        BUT A TRAP HAD BEEN LAID FOR THE GYPSIES
               AND THEY GAZED UP IN FEAR AND ALARM
               AT A FIGURE WHOSE CLUTCHES
               WERE IRON AS MUCH AS THE BELLS

",83,,        BUT A TRAP HAD BEEN LAID FOR THE GYPSIES                AND THEY GAZED UP IN FEAR AND ALARM                AT A FIGURE WHOSE CLUTCHES                WERE IRON AS MUCH AS THE BELLS  ,trap laid gypsi gaze fear alarm figur whose clutch iron much bell,
20,Gypsy,"         Judge Claude Frollo!

",88,,         Judge Claude Frollo!  ,judg claud frollo,
21,Clopin,"        THE BELLS OF NOTRE DAME

               JUDGE CLAUDE FROLLO LONGED TO PURGE THE WORLD
               OF VICE AND SIN
               AND HE SAW CORRUPTION EVERYWHERE EXCEPT WITHIN.

",90,,        THE BELLS OF NOTRE DAME                 JUDGE CLAUDE FROLLO LONGED TO PURGE THE WORLD                OF VICE AND SIN                AND HE SAW CORRUPTION EVERYWHERE EXCEPT WITHIN.  ,bell notr dame judg claud frollo long purg world vice sin saw corrupt everywher except within,
22,Frollo,"        Bring these gypsy vermin to the Palace of Justice.

",96,,        Bring these gypsy vermin to the Palace of Justice.  ,bring gypsi vermin palac justic,
23,Guard,"         (To mother) You there!  What are you hiding!?!

",98,(To mother),"           You there!  What are you hiding!?!

",mother hide,mother
24,Frollo,"        Stolen goods, no doubt.  Take them from her.

",100,,"        Stolen goods, no doubt.  Take them from her.  ",stolen good doubt take,
25,Clopin,"        She ran!

(As the gypsy mother tries to escape with her baby, Judge Frollo gives
chase on horseback.  She reaches the doors of Notre Dame and pounds on
them.)

",102,"(As the gypsy mother tries to escape with her baby, Judge Frollo gives
chase on horseback.  She reaches the doors of Notre Dame and pounds on
them.)","        She ran!

(As the gypsy mother tries to escape with her baby, Judge Frollo gives
chase on horseback.  She reaches the doors of Notre Dame and pounds on
them.)

",ran gypsi mother tri escap babi judg frollo give chase horseback reach door notr dame pound,gypsi mother tri escap babi judg frollo give chase horseback reach door notr dame pound
26,Gypsy Mother,"  Sanctuary!  Please give us sanctuary!

(Frollo finally catches up to her on the steps of the cathedral. He rips
the still covered bundle from her arms, and kicks her, sending her
crashing to the cement steps, where she is knocked unconscious.  The
baby begins to cry.)

",108,"(Frollo finally catches up to her on the steps of the cathedral. He rips
the still covered bundle from her arms, and kicks her, sending her
crashing to the cement steps, where she is knocked unconscious.  The
baby begins to cry.)","  Sanctuary!  Please give us sanctuary!

(Frollo finally catches up to her on the steps of the cathedral. He rips
the still covered bundle from her arms, and kicks her, sending her
crashing to the cement steps, where she is knocked unconscious.  The
baby begins to cry.)

",sanctuari pleas give us sanctuari frollo final catch step cathedr rip still cover bundl arm kick send crash cement step knock unconsci babi begin cri,frollo final catch step cathedr rip still cover bundl arm kick send crash cement step knock unconsci babi begin cri
27,Frollo,"        A baby?

(Frollo uncovers the baby's head, seeing the deformed infant.)

",115,"(Frollo uncovers the baby's head, seeing the deformed infant.)","        A baby?

 

",babi frollo uncov babi head see deform infant,frollo uncov babi head see deform infant
28,Frollo,"        A monster!

(He looks around, searching for a way to dispose of the creature.  He
sees a well, and rides over to it. He is about to drop the baby down the
well when a voice (a lightning flash between Clopin and the Archdeacon)
shouts out.)

",119,"(He looks around, searching for a way to dispose of the creature.  He
sees a well, and rides over to it. He is about to drop the baby down the
well when a voice (a lightning flash between Clopin and the Archdeacon)","        A monster!

(He looks around, searching for a way to dispose of the creature.  He
sees a well, and rides over to it. He is about to drop the baby down the
well when a voice (a lightning flash between Clopin and the Archdeacon)
shouts out.)

",monster look around search way dispos creatur see well ride drop babi well voic lightn flash clopin archdeacon shout,look around search way dispos creatur see well ride drop babi well voic lightn flash clopin archdeacon
29,Archdeacon,"    Stop!

",126,,    Stop!  ,stop,
30,Clopin,"        Cried the archdeacon.

",128,,        Cried the archdeacon.  ,cri archdeacon,
31,Frollo,"        This is an unholy demon.  I'm sending it back to hell,
               where it belongs!

",130,,"        This is an unholy demon.  I'm sending it back to hell,                where it belongs!  ",unholi demon send back hell belong,
32,Archdeacon,"    SEE THERE THE INNOCENT BLOOD YOU HAVE SPILT
               ON THE STEPS OF NOTRE DAME.

",133,,    SEE THERE THE INNOCENT BLOOD YOU HAVE SPILT                ON THE STEPS OF NOTRE DAME.  ,see innoc blood spilt step notr dame,
33,Frollo,"        I am guiltless--she ran, I pursued.

",136,,"        I am guiltless--she ran, I pursued.  ",guiltless ran pursu,
